name,lat,log
angus_crombie-country-park_2010.csv,56.554,-2.777
angus_crombie-country-park_2011.csv,56.554,-2.777
angus_crombie-country-park_2012.csv,56.554,-2.777
angus_crombie-country-park_2013.csv,56.554,-2.777
angus_crombie-country-park_2014.csv,56.554,-2.777
angus_mylnefield_2005.csv,56.457,-3.073
angus_mylnefield_2006.csv,56.457,-3.073
angus_mylnefield_2007.csv,56.457,-3.073
angus_mylnefield_2009.csv,56.457,-3.073
angus_mylnefield_2010.csv,56.457,-3.073
angus_mylnefield_2011.csv,56.457,-3.073
angus_mylnefield_2012.csv,56.457,-3.073
angus_mylnefield_2013.csv,56.457,-3.073
angus_mylnefield_2014.csv,56.457,-3.073
angus_whitehillocks_2005.csv,56.906,-2.907
angus_whitehillocks_2006.csv,56.906,-2.907
angus_whitehillocks_2007.csv,56.906,-2.907
angus_whitehillocks_2009.csv,56.906,-2.907
angus_whitehillocks_2010.csv,56.906,-2.907
angus_whitehillocks_2011.csv,56.906,-2.907
angus_whitehillocks_2012.csv,56.906,-2.907
angus_whitehillocks_2013.csv,56.906,-2.907
antrim_aldergrove_2005.csv,54.664,-6.225
antrim_aldergrove_2006.csv,54.664,-6.225
antrim_aldergrove_2007.csv,54.664,-6.225
antrim_aldergrove_2009.csv,54.664,-6.225
antrim_aldergrove_2010.csv,54.664,-6.225
antrim_aldergrove_2011.csv,54.664,-6.225
antrim_aldergrove_2012.csv,54.664,-6.225
antrim_aldergrove_2013.csv,54.664,-6.225
antrim_aldergrove_2014.csv,54.664,-6.225
antrim_altnahinch-filters_2005.csv,55.048,-6.255
antrim_altnahinch-filters_2006.csv,55.048,-6.255
antrim_altnahinch-filters_2007.csv,55.048,-6.255
antrim_altnahinch-filters_2009.csv,55.048,-6.255
antrim_altnahinch-filters_2010.csv,55.048,-6.255
antrim_altnahinch-filters_2011.csv,55.048,-6.255
antrim_altnahinch-filters_2012.csv,55.048,-6.255
antrim_altnahinch-filters_2013.csv,55.048,-6.255
antrim_altnahinch-filters_2014.csv,55.048,-6.255
antrim_ballypatrick-forest_2005.csv,55.181,-6.154
antrim_ballypatrick-forest_2006.csv,55.181,-6.154
antrim_ballypatrick-forest_2007.csv,55.181,-6.154
antrim_ballypatrick-forest_2009.csv,55.181,-6.154
antrim_ballypatrick-forest_2010.csv,55.181,-6.154
antrim_ballypatrick-forest_2011.csv,55.181,-6.154
antrim_ballypatrick-forest_2012.csv,55.181,-6.154
antrim_ballypatrick-forest_2013.csv,55.181,-6.154
antrim_ballypatrick-forest_2014.csv,55.181,-6.154
antrim_belfast-whitehouse_2005.csv,54.651,-5.915
antrim_belmont_2005.csv,54.745,-5.776
antrim_carnlough_2005.csv,54.984,-5.993
antrim_dungonnell-filters-no-2_2005.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2006.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2007.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2009.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2010.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2011.csv,54.989,-6.144
antrim_dungonnell-filters-no-2_2012.csv,54.989,-6.144
